cutoff_tier,arm,runs,mean_total_cost,mean_cost_gap_vs_oracle,mean_stockout_cost,mean_holding_cost,mean_action_cost,mean_processing_cost,mean_service_level,mean_service_loss_vs_baseline,before_cutoff_rate,miss_rate,extraction_exact_rate
easy,human_planner,1500,1800.9008634516488,1800.9008634516488,953.9065691288033,658.6571276561787,163.33716666666666,25.0,0.7555211154543418,0.034699079389653054,1.0,0.108,0.892
easy,hybrid_llm_human,1500,1736.7095239486002,1736.7095239486002,853.3175225312765,698.782001417324,176.02666666666667,8.583333333333334,0.7788332104753729,0.036432177512424606,1.0,0.06666666666666667,0.6666666666666666
easy,llm_agent,1500,1789.7718032831842,1789.7718032831842,850.4918227956018,763.0033138209158,176.02666666666667,0.25,0.779356382237585,0.036432177512424606,1.0,0.0,0.6666666666666666
easy,oracle,1500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
easy,rule_system,1500,1874.1366610894097,1874.1366610894097,1048.772361395716,678.0576330270271,147.20666666666668,0.1,0.7225711375214553,0.05185619385005824,1.0,0.0,0.5333333333333333
moderate,human_planner,2100,2082.2366964245844,2082.2366964245844,1214.6666566462454,700.9846588259583,141.58538095238094,25.0,0.7274137074133932,0.04310972491139346,0.7457142857142857,0.12047619047619047,0.8795238095238095
moderate,hybrid_llm_human,2100,1887.9313872219552,1887.9313872219552,880.9523044567977,807.0147970508718,191.38095238095238,8.583333333333334,0.806186684119501,0.016393278507808036,1.0,0.0,0.47619047619047616
moderate,llm_agent,2100,1990.577749290074,1990.577749290074,956.476119794188,851.8682961625526,181.98333333333332,0.25,0.7854111965730789,0.02252952805881648,1.0,0.0,0.47619047619047616
moderate,oracle,2100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
moderate,rule_system,2100,2079.79152088273,2079.79152088273,1179.2506388401273,766.0170725187934,134.42380952380952,0.1,0.7334219056773374,0.043264209124860474,1.0,0.0,0.5714285714285714
near_impossible,human_planner,600,2087.2254407926716,2087.2254407926716,1430.0549115828992,583.6407292097724,48.5298,25.0,0.6240373436454584,0.06386992222363433,0.0,0.135,0.865
near_impossible,hybrid_llm_human,600,1926.349604947773,1926.349604947773,1186.4177776411684,648.0222439732713,83.32625,8.583333333333334,0.694105889577558,0.018932475554624243,0.175,0.0,0.6666666666666666
near_impossible,llm_agent,600,1711.2105202641426,1711.2105202641426,460.21331928175147,974.397200982391,276.35,0.25,0.8728974978609041,0.00997903452133496,1.0,0.0,0.6666666666666666
near_impossible,oracle,600,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
near_impossible,rule_system,600,1814.4211929916269,1814.4211929916269,686.8203101868305,911.2925494714632,216.20833333333331,0.1,0.802386038503615,0.06255233267084696,1.0,0.0,0.5
tight,human_planner,1800,2150.9061536733375,2150.9061536733375,1202.67928132658,824.1638334578687,99.06303888888888,25.0,0.6842573786853821,0.06526633142848148,0.3411111111111111,0.07777777777777778,0.9222222222222223
tight,hybrid_llm_human,1800,1936.4281735936975,1936.4281735936975,700.4076963656684,1041.4655605613623,185.9715833333333,8.583333333333334,0.8239709048859801,0.02318622158444198,0.8527777777777777,0.0,0.7222222222222222
tight,llm_agent,1800,1992.6387941895707,1992.6387941895707,704.7209737745733,1106.5150426372197,181.15277777777777,0.25,0.830331255547805,0.022303348164167673,1.0,0.0,0.7222222222222222
tight,oracle,1800,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
tight,rule_system,1800,2019.749409111833,2019.749409111833,843.0874804380063,1026.3147064516047,150.2472222222222,0.1,0.7827475384605419,0.03643169706662564,1.0,0.0,0.7222222222222222
