pattern,arm,runs,mean_total_cost,mean_cost_gap_vs_oracle,mean_stockout_cost,mean_holding_cost,mean_action_cost,mean_processing_cost,mean_service_level,mean_service_loss_vs_baseline,before_cutoff_rate,miss_rate,extraction_exact_rate
ambiguous_buried_delay,human_planner,1200,2136.639654741096,2136.639654741096,1093.7602470066588,869.1277827344373,148.751625,25.0,0.7335495619865475,0.04197220132196021,0.6141666666666666,0.10333333333333333,0.8966666666666666
ambiguous_buried_delay,hybrid_llm_human,1200,2015.1535499934885,2015.1535499934885,786.4646837726718,1022.8899995541499,197.21553333333333,8.583333333333334,0.8090687823540859,0.025853942633945325,0.8291666666666667,0.08333333333333333,0.4166666666666667
ambiguous_buried_delay,llm_agent,1200,1990.1912674496743,1990.1912674496743,713.4976131038372,1072.322821012504,204.12083333333334,0.25,0.8368213737800075,0.02094438709027815,1.0,0.0,0.4166666666666667
ambiguous_buried_delay,oracle,1200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
ambiguous_buried_delay,rule_system,1200,2111.9395310796613,2111.9395310796613,1079.6212724524898,894.4140919605051,137.80416666666667,0.1,0.7220861085925224,0.053446299816069645,1.0,0.0,0.25
corrected_update,human_planner,1200,1970.4481908274308,1970.4481908274308,1158.3051266033895,692.0284808907081,95.11458333333333,25.0,0.6953979956153605,0.05489414599510978,0.5475,0.12166666666666667,0.8783333333333333
corrected_update,hybrid_llm_human,1200,1766.174297659661,1766.174297659661,838.4214358307562,779.2111201622382,139.95840833333332,8.583333333333334,0.7867173023156078,0.016470924780170825,0.8725,0.0,0.8333333333333334
corrected_update,llm_agent,1200,1814.8014323481746,1814.8014323481746,660.0365700469416,978.5565289678996,175.95833333333334,0.25,0.8297546337005983,0.014064393428386536,1.0,0.0,0.8333333333333334
corrected_update,oracle,1200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
corrected_update,rule_system,1200,1898.0067163510464,1898.0067163510464,859.4532109888198,899.5410053622265,138.9125,0.1,0.7855456854433726,0.030300362413455708,1.0,0.0,0.6666666666666666
lead_time_delay,human_planner,1200,1880.4008494941174,1880.4008494941174,1231.2818070092278,536.9286341515565,87.19040833333332,25.0,0.6734053985129191,0.07644386428125777,0.5966666666666667,0.09666666666666666,0.9033333333333333
lead_time_delay,hybrid_llm_human,1200,1708.336948065231,1708.336948065231,910.7322157721478,658.7674322930831,130.25396666666666,8.583333333333334,0.7512224175406049,0.03860047253395072,0.7775,0.0,0.75
lead_time_delay,llm_agent,1200,1749.8937726982106,1749.8937726982106,876.0747601911002,717.573179173777,155.99583333333334,0.25,0.7566808627225688,0.045438801612065,1.0,0.0,0.75
lead_time_delay,oracle,1200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
lead_time_delay,rule_system,1200,1914.0256508570487,1914.0256508570487,1240.6933389824092,584.878145207973,88.35416666666666,0.1,0.6471216349042244,0.10418472437174324,1.0,0.0,0.4166666666666667
partial_shipment,human_planner,1200,1950.0602142271002,1950.0602142271002,993.1064362404828,776.9567113199508,154.99706666666665,25.0,0.7647782832555263,0.01991808529276203,0.7366666666666667,0.11166666666666666,0.8883333333333333
partial_shipment,hybrid_llm_human,1200,1792.4473513332273,1792.4473513332273,699.7035786705925,882.5399476626347,201.62049166666665,8.583333333333334,0.8371171749288044,0.007990301981653429,0.9641666666666666,0.0,0.5
partial_shipment,llm_agent,1200,1896.5508387739192,1896.5508387739192,819.8879763437202,887.9711957635323,188.44166666666666,0.25,0.8055701395442288,0.01329032663904575,1.0,0.0,0.5
partial_shipment,oracle,1200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
partial_shipment,rule_system,1200,1881.4668442742877,1881.4668442742877,848.2884342901057,869.3159099841822,163.7625,0.1,0.8054794605350354,0.008851406884568825,1.0,0.0,0.9166666666666666
shipment_cancellation,human_planner,1200,2227.463339674181,2227.463339674181,1360.6426214634944,703.0690682106869,138.75164999999998,25.0,0.6886488827718139,0.05542202919545448,0.5716666666666667,0.09666666666666666,0.9033333333333333
shipment_cancellation,hybrid_llm_human,1200,2060.471748386997,2060.471748386997,1016.8119552864099,828.5543597672539,206.5221,8.583333333333334,0.783251835281989,0.029558387503449617,0.9233333333333333,0.0,0.5833333333333334
shipment_cancellation,llm_agent,1200,2113.8519555080584,2113.8519555080584,954.6391887514677,935.0711000899241,223.89166666666665,0.25,0.8017836943046254,0.029673526730603153,1.0,0.0,0.5833333333333334
shipment_cancellation,oracle,1200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
shipment_cancellation,rule_system,1200,2113.7019555080583,2113.7019555080583,954.6391887514677,935.0711000899241,223.89166666666665,0.1,0.8017836943046254,0.029673526730603153,1.0,0.0,0.75
